20170601 013600;1.286480;1.286600;1.286480;1.286570;0
20170601 013700;1.286570;1.286570;1.286530;1.286540;0
20170601 013800;1.286530;1.286650;1.286530;1.286630;0
20170601 013900;1.286640;1.286640;1.286540;1.286550;0
20170601 014000;1.286540;1.286540;1.286350;1.286450;0
20170601 014100;1.286440;1.286440;1.286180;1.286210;0
20170601 014200;1.286200;1.286200;1.285880;1.285960;0
20170601 014300;1.285980;1.285980;1.285720;1.285960;0
20170601 014400;1.285970;1.285980;1.285830;1.285830;0
20170601 014500;1.285850;1.286080;1.285850;1.286040;0
20170601 014600;1.286040;1.286390;1.286020;1.286390;0
20170601 014700;1.286410;1.286690;1.286410;1.286620;0
20170601 014800;1.286600;1.286600;1.286380;1.286380;0
20170601 014900;1.286370;1.286390;1.286330;1.286330;0
20170601 015000;1.286330;1.286330;1.286080;1.286100;0
20170601 015100;1.286100;1.286150;1.286010;1.286150;0
20170601 015200;1.286130;1.286220;1.286130;1.286190;0
20170601 015300;1.286200;1.286230;1.286120;1.286180;0
20170601 015400;1.286200;1.286240;1.286170;1.286220;0
20170601 015500;1.286230;1.286430;1.286220;1.286380;0
20170601 015600;1.286390;1.286390;1.286190;1.286200;0
20170601 015700;1.286190;1.286190;1.286110;1.286190;0
20170601 015800;1.286170;1.286210;1.286150;1.286180;0
20170601 015900;1.286230;1.286290;1.286190;1.286190;0
20170601 020000;1.286200;1.286200;1.285790;1.285790;0
20170601 020100;1.285830;1.285880;1.285540;1.285540;0
20170601 020200;1.285540;1.285660;1.285410;1.285430;0
20170601 020300;1.285420;1.285450;1.285260;1.285330;0
20170601 020400;1.285370;1.285530;1.285370;1.285430;0
20170601 020500;1.285420;1.285590;1.285390;1.285530;0
20170601 020600;1.285550;1.285570;1.285430;1.285480;0
20170601 020700;1.285470;1.285540;1.285440;1.285520;0
20170601 020800;1.285530;1.285870;1.285510;1.285810;0
20170601 020900;1.285790;1.285790;1.285550;1.285670;0
20170601 021000;1.285680;1.285920;1.285680;1.285860;0
20170601 021100;1.285870;1.285910;1.285830;1.285840;0
20170601 021200;1.285860;1.285960;1.285820;1.285960;0
20170601 021300;1.285960;1.286180;1.285960;1.286180;0
20170601 021400;1.286220;1.286380;1.285720;1.285890;0
20170601 021500;1.285870;1.285990;1.285830;1.285950;0
20170601 021600;1.285950;1.285950;1.285650;1.285650;0
20170601 021700;1.285620;1.285720;1.285420;1.285720;0
20170601 021800;1.285710;1.285710;1.285430;1.285440;0
20170601 021900;1.285440;1.285550;1.285430;1.285450;0
20170601 022000;1.285530;1.285620;1.285420;1.285560;0
20170601 022100;1.285560;1.285630;1.285470;1.285590;0
20170601 022200;1.285590;1.285590;1.284870;1.284920;0
20170601 022300;1.284920;1.285050;1.284850;1.285030;0
20170601 022400;1.285000;1.285010;1.284760;1.284770;0
20170601 022500;1.284760;1.284860;1.284660;1.284840;0
20170601 022600;1.284860;1.285010;1.284860;1.284920;0
20170601 022700;1.284930;1.284940;1.284840;1.284940;0
20170601 022800;1.284940;1.284940;1.284850;1.284880;0
20170601 022900;1.284880;1.284880;1.284420;1.284420;0
20170601 023000;1.284430;1.284450;1.284010;1.284390;0
20170601 023100;1.284380;1.284620;1.284300;1.284600;0
20170601 023200;1.284580;1.284790;1.284470;1.284770;0
20170601 023300;1.284770;1.284770;1.284540;1.284540;0
20170601 023400;1.284530;1.284670;1.284490;1.284650;0
20170601 023500;1.284650;1.284650;1.284430;1.284440;0
20170601 023600;1.284430;1.285220;1.284430;1.285220;0
20170601 023700;1.285160;1.285250;1.284810;1.285050;0
20170601 023800;1.285060;1.285470;1.285060;1.285240;0
20170601 023900;1.285220;1.285460;1.285150;1.285420;0
20170601 024000;1.285440;1.285470;1.285100;1.285330;0
20170601 024100;1.285280;1.285280;1.284850;1.285030;0
20170601 024200;1.285050;1.285050;1.284920;1.284940;0
20170601 024300;1.284930;1.285140;1.284930;1.285090;0
20170601 024400;1.285090;1.285170;1.284980;1.285160;0
20170601 024500;1.285190;1.285280;1.285150;1.285250;0
20170601 024600;1.285230;1.285480;1.285200;1.285390;0
20170601 024700;1.285370;1.285370;1.285160;1.285180;0
20170601 024800;1.285220;1.285280;1.285080;1.285190;0
20170601 024900;1.285180;1.285450;1.285180;1.285450;0
20170601 025000;1.285470;1.285780;1.285460;1.285760;0
20170601 025100;1.285760;1.285760;1.285600;1.285650;0
20170601 025200;1.285650;1.285850;1.285650;1.285680;0
20170601 025300;1.285680;1.285760;1.285600;1.285720;0
20170601 025400;1.285740;1.285740;1.285410;1.285450;0
20170601 025500;1.285430;1.285630;1.285430;1.285570;0
20170601 025600;1.285550;1.285840;1.285440;1.285730;0
20170601 025700;1.285730;1.285830;1.285670;1.285800;0
20170601 025800;1.285800;1.285870;1.285800;1.285830;0
20170601 025900;1.285810;1.285840;1.285580;1.285650;0
20170601 030000;1.285600;1.285660;1.285460;1.285620;0
20170601 030100;1.285630;1.285850;1.285630;1.285840;0
20170601 030200;1.285870;1.285930;1.285640;1.285750;0
20170601 030300;1.285760;1.285850;1.285530;1.285670;0
20170601 030400;1.285680;1.285750;1.285510;1.285520;0
20170601 030500;1.285530;1.285680;1.285380;1.285640;0
20170601 030600;1.285620;1.285660;1.285480;1.285530;0
20170601 030700;1.285510;1.285510;1.285290;1.285410;0
20170601 030800;1.285430;1.285440;1.285100;1.285290;0
20170601 030900;1.285270;1.285270;1.284960;1.284970;0
20170601 031000;1.285020;1.285060;1.284910;1.285040;0
20170601 031100;1.285050;1.285100;1.284940;1.285060;0
20170601 031200;1.285060;1.285080;1.284920;1.285070;0
20170601 031300;1.285080;1.285190;1.285050;1.285070;0
20170601 031400;1.285070;1.285220;1.284900;1.285140;0
20170601 031500;1.285120;1.285260;1.284950;1.285230;0
20170601 031600;1.285240;1.285350;1.285240;1.285330;0
20170601 031700;1.285320;1.285560;1.285250;1.285560;0
20170601 031800;1.285560;1.285960;1.285550;1.285940;0
20170601 031900;1.285950;1.286300;1.285890;1.285950;0
20170601 032000;1.285960;1.286150;1.285960;1.286140;0
20170601 032100;1.286150;1.286190;1.286140;1.286170;0
20170601 032200;1.286170;1.286390;1.286160;1.286390;0
20170601 032300;1.286380;1.286520;1.286320;1.286520;0
20170601 032400;1.286520;1.286520;1.286190;1.286270;0
20170601 032500;1.286270;1.286300;1.286060;1.286270;0
20170601 032600;1.286290;1.286490;1.286160;1.286160;0
20170601 032700;1.286160;1.286180;1.286040;1.286070;0
20170601 032800;1.286130;1.286160;1.286040;1.286070;0
20170601 032900;1.286060;1.286130;1.286050;1.286060;0
20170601 033000;1.286070;1.286070;1.286020;1.286020;0
20170601 033100;1.286020;1.286030;1.285970;1.286000;0
20170601 033200;1.286020;1.286340;1.286020;1.286260;0
20170601 033300;1.286300;1.286320;1.286230;1.286230;0
20170601 033400;1.286220;1.286220;1.286030;1.286030;0
20170601 033500;1.286010;1.286660;1.285970;1.286580;0
20170601 033600;1.286600;1.286960;1.286570;1.286870;0
20170601 033700;1.286870;1.287050;1.286720;1.286780;0
20170601 033800;1.286760;1.286760;1.286570;1.286630;0
20170601 033900;1.286650;1.286950;1.286650;1.286950;0
20170601 034000;1.286930;1.286960;1.286680;1.286690;0
20170601 034100;1.286690;1.286850;1.286600;1.286600;0
20170601 034200;1.286590;1.286620;1.286420;1.286550;0
20170601 034300;1.286570;1.286590;1.286100;1.286120;0
20170601 034400;1.286130;1.286140;1.286110;1.286130;0
20170601 034500;1.286120;1.286320;1.286050;1.286240;0
20170601 034600;1.286240;1.286260;1.286220;1.286240;0
20170601 034700;1.286250;1.286380;1.286250;1.286330;0
20170601 034800;1.286310;1.286580;1.286260;1.286560;0
20170601 034900;1.286580;1.286780;1.286580;1.286680;0
20170601 035000;1.286680;1.286940;1.286640;1.286880;0
20170601 035100;1.286900;1.286900;1.286640;1.286780;0
20170601 035200;1.286780;1.286890;1.286690;1.286890;0
20170601 035300;1.286890;1.286890;1.286760;1.286850;0
20170601 035400;1.286840;1.286880;1.286650;1.286800;0
20170601 035500;1.286800;1.287110;1.286720;1.287090;0
20170601 035600;1.287110;1.287710;1.287100;1.287570;0
20170601 035700;1.287570;1.287580;1.287370;1.287410;0
20170601 035800;1.287410;1.287460;1.287320;1.287380;0
20170601 035900;1.287400;1.287540;1.287290;1.287330;0
20170601 040000;1.287340;1.287490;1.287340;1.287420;0
20170601 040100;1.287430;1.287440;1.287250;1.287260;0
20170601 040200;1.287240;1.287310;1.287040;1.287050;0
20170601 040300;1.287060;1.287160;1.286980;1.287080;0
20170601 040400;1.287080;1.287180;1.286960;1.287160;0
20170601 040500;1.287150;1.287150;1.286890;1.286890;0
20170601 040600;1.286920;1.287070;1.286900;1.287070;0
20170601 040700;1.287080;1.287150;1.287080;1.287090;0
20170601 040800;1.287110;1.287300;1.287090;1.287300;0
20170601 040900;1.287300;1.287300;1.286970;1.286980;0
20170601 041000;1.287010;1.287100;1.286990;1.287090;0
20170601 041100;1.287090;1.287570;1.287080;1.287570;0
20170601 041200;1.287550;1.287570;1.287330;1.287350;0
20170601 041300;1.287360;1.287450;1.287350;1.287440;0
20170601 041400;1.287460;1.287770;1.287390;1.287750;0
20170601 041500;1.287750;1.287960;1.287730;1.287940;0
20170601 041600;1.287960;1.287960;1.287420;1.287420;0
20170601 041700;1.287430;1.287630;1.287410;1.287610;0
20170601 041800;1.287590;1.287910;1.287410;1.287890;0
20170601 041900;1.287880;1.288060;1.287800;1.287920;0
20170601 042000;1.287920;1.288040;1.287630;1.287630;0
20170601 042100;1.287650;1.287740;1.287350;1.287350;0
20170601 042200;1.287330;1.287340;1.287130;1.287340;0
