Constituency,Cnty,Rgn,Last Election,Party,Votes,Share,Majrty,turnout,Con[b],Lab[c],LD,SNP,UKIP,Grn[d],DUP,SF,PC,SDLP,UUP,APNI,Other[e],Total
Aberavon,WGM,WLS,Lab,Lab,"22,662",68.10%,"16,761",66.70%,"5,901","22,662",599,,"1,345",,,,"2,761",,,,,"33,268"
Aberconwy,CON,WLS,Con,Con,"14,337",44.60%,635,71.00%,"14,337","13,702",941,,,,,,"3,170",,,,,"32,150"
Aberdeen North,SCT,SCT,SNP,SNP,"15,170",41.30%,"4,139",59.20%,"8,341","11,031","1,693","15,170",,,,,,,,,522,"36,757"
Aberdeen South,SCT,SCT,SNP,Con,"18,746",42.10%,"4,752",68.50%,"18,746","9,143","2,610","13,994",,,,,,,,,,"44,493"
Airdrie and Shotts,SCT,SCT,SNP,SNP,"14,291",37.60%,195,59.20%,"8,813","14,096",802,"14,291",,,,,,,,,,"38,002"
Aldershot,HAM,SE,Con,Con,"26,950",55.10%,"11,473",64.20%,"26,950","15,477","3,637",,"1,796","1,090",,,,,,,,"48,950"
Aldridge-Brownhills,WMD,WM,Con,Con,"26,317",65.40%,"14,307",66.70%,"26,317","12,010","1,343",,,,,,,,,,565,"40,235"
Altrincham and Sale West,GTM,NW,Con,Con,"26,933",51.00%,"6,426",72.10%,"26,933","20,507","4,051",,,"1,000",,,,,,,299,"52,790"
Alyn and Deeside,CON,WLS,Lab,Lab,"23,315",52.10%,"5,235",71.00%,"18,080","23,315","1,077",,"1,117",,,,"1,171",,,,,"44,760"
Amber Valley,DBY,EM,Con,Con,"25,905",56.50%,"8,300",67.30%,"25,905","17,605","1,100",,,650,,,,,,,551,"45,811"
Angus,SCT,SCT,SNP,Con,"18,148",45.20%,"2,645",63.00%,"18,148","5,233","1,308","15,503",,,,,,,,,,"40,192"
Arfon,GWN,WLS,PC,PC,"11,519",40.80%,92,68.20%,"4,614","11,427",648,,,,,,"11,519",,,,,"28,208"
Argyll and Bute,SCT,SCT,SNP,SNP,"17,304",36.00%,"1,328",71.50%,"15,976","6,044","8,745","17,304",,,,,,,,,,"48,069"
Arundel and South Downs,WSX,SE,Con,Con,"37,573",62.40%,"23,883",75.80%,"37,573","13,690","4,783",,"1,668","2,542",,,,,,,,"60,256"
Ashfield,NTT,EM,Lab,Lab,"21,285",42.60%,441,64.00%,"20,844","21,285",969,,"1,885",398,,,,,,,"4,612","49,993"
Ashford,KEN,SE,Con,Con,"35,318",59.00%,"17,478",68.50%,"35,318","17,840","3,101",,"2,218","1,402",,,,,,,,"59,879"
Ashton-under-Lyne,GTM,NW,Lab,Lab,"24,005",60.40%,"11,295",60.50%,"12,710","24,005",646,,"1,878",534,,,,,,,,"39,773"
Aylesbury,BKM,SE,Con,Con,"32,313",55.00%,"14,656",71.20%,"32,313","17,657","5,660",,"1,296","1,237",,,,,,,620,"58,783"
"Ayr, Carrick and Cumnock",SCT,SCT,SNP,Con,"18,550",40.10%,"2,774",64.90%,"18,550","11,024",872,"15,776",,,,,,,,,,"46,222"
Banbury,OXF,SE,Con,Con,"33,388",54.20%,"12,399",73.40%,"33,388","20,989","3,452",,"1,581","1,225",,,,,,,927,"61,562"
