Pennsylvania,,2016-11-08 21:30,41,56,20,1,17
New York ,,2016-11-08 21:35,21,77,29,1,15
Texas,,2016-11-08 21:35,51,46,38,1,65
Ohio,,2016-11-08 21:45,53,43,18,1,61
Georgia,,2016-11-08 21:45,58,39,16,1,45
Michigan,,2016-11-08 21:45,50,45,16,1,20
New Hampshire,,2016-11-08 21:45,48,47,4,1,30
Wisconsin,,2016-11-08 21:45,51,44,10,1,21
Colorado,,2016-11-08 21:45,43,49,9,1,51
Pennsylvania,,2016-11-08 21:45,39,58,20,1,25
Ohio,,2016-11-08 22:00,53,41,18,1,67
Georgia,,2016-11-08 22:00,58,39,16,1,45
North Carolina,,2016-11-08 22:00,50,47,15,1,81
Virginia,,2016-11-08 22:00,47,48,13,1,83
Colorado,,2016-11-08 22:00,44,49,9,1,53
Michigan,,2016-11-08 22:00,49,45,16,1,24
New Hampshire,,2016-11-08 22:00,48,47,4,1,41
Wisconsin,,2016-11-08 22:00,50,45,10,1,28
Pennsylvania,,2016-11-08 22:00,42,55,20,1,34
Arizona,,2016-11-08 22:00,55,41,11,1,2
North Carolina,,2016-11-08 22:15,51,47,15,1,83
Arizona,,2016-11-08 22:15,48,47,11,1,50
Ohio,,2016-11-08 22:15,53,42,18,1,74
Montana,,2016-11-08 22:15,63,33,3,1,18
Iowa,,2016-11-08 22:20,35,60,6,1,13
New Mexico,,2016-11-08 22:15,39,51,5,1,54
Michigan,,2016-11-08 22:30,49,46,16,1,32
,,2016-11-08 22:30,49,46,10,1,42
Florida,,2016-11-08 22:30,49,48,29,1,95
Arizona,,2016-11-08 22:30,49,46,11,1,52
North Carolina,,2016-11-08 22:30,51,47,15,1,84
Georgia,,2016-11-08 22:30,57,41,16,1,49
New Hampshire,,2016-11-08 22:30,49,46,4,1,47
Virginia,,2016-11-08 22:30,47,48,13,1,87
Colorado,,2016-11-08 22:30,44,49,9,1,65
Iowa,,2016-11-08 22:30,38,57,6,1,19
Pennsylvania,,2016-11-08 22:30,46,51,20,1,51
Pennsylvania,,2016-11-08 23:00,47,49,20,1,68
Iowa,,2016-11-08 23:00,48,50,6,1,40
Arizona,,2016-11-08 23:00,49,46,11,1,58
Michigan,,2016-11-08 23:00,48,47,16,1,48
Iowa,,2016-11-08 23:00,45,50,6,1,40
Georgia,,2016-11-08 23:00,57,41,16,1,49
Pennsylvania,,2016-11-09 0:00,48,48,20,1,90
New Hampshire,,2016-11-09 0:00,48,47,4,1,77
Nevada,,2016-11-09 0:15,45,49,6,1,71
