Florida,,2016-11-08 9:01pm,49.2,47.6,29,1,91
Virginia,,2016-11-08 9:01pm,49.7,45.3,13,1,65
New Hampshire,,2016-11-08 9:01pm,44.5,50.3,4,1,12
Texas,,2016-11-08 9:01pm,50.4,45.6,38,1,55
Ohio,,2016-11-08 9:03pm,49.2,46.9,18,1,39
Georgia,,2016-11-08 9:03pm,65.5,35.1,16,1,29
New Hampshire,,2016-11-08 9:03pm,45,49.9,4,1,13
Michigan,,2016-11-08 9:03pm,46.2,48.7,16,1,11
Pennsylvania,,2016-11-08 9:03pm,30.8,65.9,20,1,5
Ohio,,2016-11-08 9:14pm,51.5,44.5,18,1,47
Virginia,,2016-11-08 9:15pm,48.8,46.1,13,1,72
Florida,,2016-11-08 9:15pm,49.3,47.6,29,1,93
North Carolina,,2016-11-08 9:17pm,49.1,48.4,15,1,71
New Hampshire,,2016-11-08 9:21pm,47.4,47.5,4,1,19
Michigan,,2016-11-08 9:23pm,48.7,46.2,16,1,15
Ohio,,2016-11-08 9:23pm,51.6,44.2,18,1,50
North Carolina,,2016-11-08 9:24pm,49.4,48.1,15,1,74
Pennsylvania,,2016-11-08 9:24pm,36.4,60.2,20,1,12
Colorado,,2016-11-08 9:26pm,42.4,50.3,9,1,38
Virginia,,2016-11-08 9:26pm,48.5,46.5,13,1,73
Georgia,,2016-11-08 9:29pm,59.4,38,16,1,40
Ohio,,2016-11-08 9:30pm,51.8,44,18,1,53
Michigan,,2016-11-08 9:31pm,49.1,48.5,16,1,17
New Hampshire,,2016-11-08 9:31pm,47.9,46.9,4,1,22
Wisconsin,,2016-11-08 9:31pm,44.1,50.9,10,1,12
Colorado,,2016-11-08 9:32pm,44,48.7,9,1,42
Pennsylvania,,2016-11-08 9:32pm,40.6,56,20,1,17
Ohio,,2016-11-08 9:33pm,52.2,43.6,18,1,55
New York,,2016-11-08 9:35pm,20.7,76.8,29,1,15
Texas,,2016-11-08 9:35pm,50.6,45.5,38,1,65
Virginia,,2016-11-08 9:35pm,48.1,46.8,13,1,77
New Hampshire,,2016-11-08 9:35pm,47.7,47.2,4,1,24
Pennsylvania,,2016-11-08 9:35pm,39.4,57.4,20,1,21
Michigan,,2016-11-08 9:35pm,49.8,45.1,16,1,18
Virginia,,2016-11-08 9:36pm,47.9,47.1,13,1,78
North Carolina,,2016-11-08 9:36pm,49.8,47.6,15,1,77
Colorado,,2016-11-08 9:38pm,43.2,49.4,9,1,51
Ohio,,2016-11-08 9:41pm,53.1,42.7,18,1,59
Florida,,2016-11-08 9:45pm,49,47.8,29,1,95
North Carolina,,2016-11-08 9:45pm,49.9,47.5,15,1,77
Ohio,,2016-11-08 9:45pm,52.9,42.7,18,1,61
Virginia,,2016-11-08 9:45pm,47.6,47.3,13,1,80
Georgia,,2016-11-08 9:45pm,58.1,39.2,16,1,45
Michigan,,2016-11-08 9:45pm,49.5,45.4,16,1,20
New Hampshire,,2016-11-08 9:45pm,47.8,47,4,1,30
Wisconsin,,2016-11-08 9:45pm,50.8,44.1,10,1,21
Colorado,,2016-11-08 9:45pm,43.2,49.4,9,1,51
Pennsylvania,,2016-11-08 9:45pm,39.5,57.3,20,1,25
New Hampshire,,2016-11-08 9:50pm,47.9,46.9,4,1,32
Michigan,,2016-11-08 9:50pm,49.8,45,16,1,21
North Carolina,,2016-11-08 9:51pm,50,47.4,15,1,49
Ohio,,2016-11-08 9:51pm,53.1,42.5,18,1,65
Virginia,,2016-11-08 9:53pm,47.5,47.4,13,1,81
New Hampshire,,2016-11-08 9:56pm,48,46.7,4,1,36
Wisconsin,,2016-11-08 9:58pm,50.3,44.6,10,1,27
Michigan,,2016-11-08 9:58pm,50.3,44.5,16,1,12
Colorado,,2016-11-08 9:59pm,43.9,48.7,9,1,53
Florida,,2016-11-08 10:00pm,49.2,47.7,29,1,95
North Carolina,,2016-11-08 10:00pm,50.2,47.2,15,1,81
Ohio,,2016-11-08 10:00pm,53,42.6,18,1,67
Virginia,,2016-11-08 10:00pm,47.2,47.7,13,1,83
Georgia,,2016-11-08 10:00pm,58.1,39.2,16,1,45
Colorado,,2016-11-08 10:00pm,43.8,48.8,9,1,53
Michigan,,2016-11-08 10:00pm,49.5,45.3,16,1,24
New Hampshire,,2016-11-08 10:00pm,48.3,46.5,4,1,41
Wisconsin,,2016-11-08 10:00pm,50.4,44.5,10,1,28
Pennsylvania,,2016-11-08 10:00pm,42.2,54.6,20,1,34
Arizona,,2016-11-08 10:00pm,55.4,40.5,11,1,2
Wisconsin,,2016-11-08 10:06pm,50.9,43.9,10,1,29
Arizona,,2016-11-08 10:07pm,50.3,45,11,1,37
Michigan,,2016-11-08 10:07pm,49.7,45.1,16,1,25
Ohio,,2016-11-08 10:08pm,53.1,42.5,18,1,70
North Carolina,,2016-11-08 10:08pm,50.4,47,15,1,83
Wisconsin,,2016-11-08 10:08pm,49.9,45,10,1,32
Georgia,,2016-11-08 10:09pm,56.8,40.4,16,1,46
Ohio,,2016-11-08 10:10pm,53.4,42.2,18,1,72
Colorado,,2016-11-08 10:11pm,43.7,48.8,9,1,63
North Carolina,,2016-11-08 10:15pm,50.5,46.9,15,1,83
Arizona,,2016-11-08 10:15pm,48.6,46.8,11,1,50
New Mexico,,2016-11-08 10:15pm,39.1,50.6,5,1,54
Virginia,,2016-11-08 10:16pm,47.1,47.8,13,1,84
Missouri,,2016-11-08 10:16pm,63,32.5,10,1,18
Iowa,,2016-11-08 10:18pm,35.2,59.9,6,1,13
New Hampshire,,2016-11-08 10:18pm,48.7,46.1,4,1,45
Pennsylvania,,2016-11-08 10:19pm,44,52.6,20,1,41
Iowa,,2016-11-08 10:19pm,35.6,59.5,6,1,13
Wisconsin,,2016-11-08 10:20pm,48,46.8,10,1,40
Michigan,,2016-11-08 10:21pm,49.9,44.9,16,1,30
Ohio,,2016-11-08 10:21pm,53.4,42.2,18,1,75
Wisconsin,,2016-11-08 10:20pm,48.3,46.5,10,1,41
Ohio,,2016-11-08 10:28pm,53.3,42.3,18,1,78
Michigan,,2016-11-08 10:30pm,48.6,46.4,16,1,32
Wisconsin,,2016-11-08 10:31pm,48.5,46.3,10,1,42
Florida,,2016-11-08 10:31pm,49.2,47.7,29,1,95
